id,manglish,malayalam,english
1,nee urangunnu undo,നീ ഉറങ്ങുന്നു ഉണ്ടോ,is you sleeping?
2,varunnu,വരുന്നു,coming
3,avan schulil varunnuu,അവൻ സ്കൂളിൽ വരുന്നു,he is coming at school
4,avanu veettil pokunnu,അവൻ വീട്ടിൽ പോകുന്നു,he is going at home
5,avan kazheekkunnu undo,അവൻ കഴിക്കുന്നു ഉണ്ടോ,is he eating?
6,ni kazhikkunnuu undo,നീ കഴിക്കുന്നു ഉണ്ടോ,is you eating?
7,nammal padikkunnu undo,നാം പഠിക്കുന്നു ഉണ്ടോ,is we studying?
8,pani cheyyunnu,ജോലി ചെയ്യുന്നു,working
9,avanu veettil kazhikkunnuu,അവൻ വീട്ടിൽ കഴിക്കുന്നു,he is eating at home
10,avan vellam varunnu,അവൻ വെള്ളം വരുന്നു,he is coming water
11,nee chaya varunnu,നീ ചായ വരുന്നു,you is coming tea
12,njan urangunnu undo,ഞാൻ ഉറങ്ങുന്നു ഉണ്ടോ,is I sleeping?
13,aval chaaya pani cheyyunnuu,അവൾ ചായ ജോലി ചെയ്യുന്നു,she is working tea
14,avan vellamu padeekkunnu,അവൻ വെള്ളം പഠിക്കുന്നു,he is studying water
15,njan vellam kazhikkoonnoo,ഞാൻ വെള്ളം കഴിക്കുന്നു,I is eating water
16,nammal veettil pokoonnoo,നാം വീട്ടിൽ പോകുന്നു,we is going at home
17,padikkunnuu,പഠിക്കുന്നു,studying
18,avanu veettilu padikkoonnoo,അവൻ വീട്ടിൽ പഠിക്കുന്നു,he is studying at home
19,aval officeilu varunnu,അവൾ ഓഫീസിൽ വരുന്നു,she is coming at office
20,nee officeil kazhikkunnu,നീ ഓഫീസിൽ കഴിക്കുന്നു,you is eating at office
21,nammal coffee varunnuu,നാം കാപ്പി വരുന്നു,we is coming coffee
22,kazhikkunnu,കഴിക്കുന്നു,eating
23,nammal officeil varunnu,നാം ഓഫീസിൽ വരുന്നു,we is coming at office
24,njan veettil pani cheyyunnu,ഞാൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,I is working at home
25,nee vellamu kazhikkunnu,നീ വെള്ളം കഴിക്കുന്നു,you is eating water
26,padikkunnu,പഠിക്കുന്നു,studying
27,nee vellam varunnuu,നീ വെള്ളം വരുന്നു,you is coming water
28,urangunnu,ഉറങ്ങുന്നു,sleeping
29,aval officeil pokunnu,അവൾ ഓഫീസിൽ പോകുന്നു,she is going at office
30,aval schoolil oorangoonnoo,അവൾ സ്കൂളിൽ ഉറങ്ങുന്നു,she is sleeping at school
31,nammal pusthakam varoonnoo,നാം പുസ്തകം വരുന്നു,we is coming book
32,nammal pokunnu undo,നാം പോകുന്നു ഉണ്ടോ,is we going?
33,aval vellam padikkunnu,അവൾ വെള്ളം പഠിക്കുന്നു,she is studying water
34,neeu kazhikkunnu undo,നീ കഴിക്കുന്നു ഉണ്ടോ,is you eating?
35,aval schoolil kazhikkoonnoo,അവൾ സ്കൂളിൽ കഴിക്കുന്നു,she is eating at school
36,avan pokunnuu undo,അവൻ പോകുന്നു ഉണ്ടോ,is he going?
37,avan chaaya varunnu,അവൻ ചായ വരുന്നു,he is coming tea
38,nammal kazhikkunnu undo,നാം കഴിക്കുന്നു ഉണ്ടോ,is we eating?
39,avalu pokoonnoo undo,അവൾ പോകുന്നു ഉണ്ടോ,is she going?
40,avan coffee pokunnuu,അവൻ കാപ്പി പോകുന്നു,he is going coffee
41,avan pusthakam varoonnoo,അവൻ പുസ്തകം വരുന്നു,he is coming book
42,aval chaaya pokunnu,അവൾ ചായ പോകുന്നു,she is going tea
43,njan pusthakam padikkunnu,ഞാൻ പുസ്തകം പഠിക്കുന്നു,I is studying book
